# #(c) Patrick Heenan 
# #Extension (nm),	Extension (pN),	Count (N)
# 
2.0358650723e+01,-1.7006367302e+01,0.0000000000e+00
2.0556307526e+01,-1.7006367302e+01,0.0000000000e+00
2.0753964329e+01,-1.7006367302e+01,0.0000000000e+00
2.0951621132e+01,-1.7006367302e+01,0.0000000000e+00
2.1149277935e+01,-1.7006367302e+01,0.0000000000e+00
2.1346934738e+01,-1.7006367302e+01,0.0000000000e+00
2.1544591541e+01,-1.7006367302e+01,0.0000000000e+00
2.1742248344e+01,-1.7006367302e+01,0.0000000000e+00
2.1939905148e+01,-1.7006367302e+01,0.0000000000e+00
2.2137561951e+01,-1.7006367302e+01,0.0000000000e+00
2.2335218754e+01,-1.7006367302e+01,0.0000000000e+00
2.2532875557e+01,-1.7006367302e+01,0.0000000000e+00
2.2730532360e+01,-1.7006367302e+01,0.0000000000e+00
2.2928189163e+01,-1.7006367302e+01,0.0000000000e+00
2.3125845966e+01,-1.7006367302e+01,0.0000000000e+00
2.3323502769e+01,-1.7006367302e+01,0.0000000000e+00
2.3521159573e+01,-1.7006367302e+01,0.0000000000e+00
2.3718816376e+01,-1.7006367302e+01,0.0000000000e+00
2.3916473179e+01,-1.7006367302e+01,0.0000000000e+00
2.4114129982e+01,-1.7006367302e+01,0.0000000000e+00
2.4311786785e+01,-1.7006367302e+01,0.0000000000e+00
2.4509443588e+01,-1.7006367302e+01,0.0000000000e+00
2.4707100391e+01,-1.7006367302e+01,0.0000000000e+00
2.4904757195e+01,-1.7006367302e+01,0.0000000000e+00
2.5102413998e+01,-1.7006367302e+01,0.0000000000e+00
2.5300070801e+01,-1.7006367302e+01,0.0000000000e+00
2.5497727604e+01,-1.7006367302e+01,0.0000000000e+00
2.5695384407e+01,-1.7006367302e+01,0.0000000000e+00
2.5893041210e+01,-1.7006367302e+01,0.0000000000e+00
2.6090698013e+01,-1.7006367302e+01,0.0000000000e+00
2.6288354816e+01,-1.7006367302e+01,0.0000000000e+00
2.6486011620e+01,-1.7006367302e+01,0.0000000000e+00
2.6683668423e+01,-1.7006367302e+01,0.0000000000e+00
2.6881325226e+01,-1.7006367302e+01,0.0000000000e+00
2.7078982029e+01,-1.7006367302e+01,0.0000000000e+00
2.7276638832e+01,-1.7006367302e+01,0.0000000000e+00
2.7474295635e+01,-1.7006367302e+01,0.0000000000e+00
2.7671952438e+01,-1.7006367302e+01,0.0000000000e+00
2.7869609241e+01,-1.7006367302e+01,0.0000000000e+00
