# #(c) Patrick Heenan 
# #Extension (nm),	G(q) (kcal/mol),	G(q) (upper bound) (kcal/mol),	G(q) (lower bound) (kcal/mol)
# 
1.5042592579e+01,5.3162914559e+01,4.1266442334e+01,6.5059386785e+01
1.5087229352e+01,5.3262729227e+01,4.1365241157e+01,6.5160217297e+01
1.5131866126e+01,5.3364429166e+01,4.1465441518e+01,6.5263416814e+01
1.5176502899e+01,5.3468074030e+01,4.1566579575e+01,6.5369568484e+01
1.5221139672e+01,5.3573723207e+01,4.1668190474e+01,6.5479255939e+01
1.5265776445e+01,5.3681377411e+01,4.1769827703e+01,6.5592927120e+01
1.5310413219e+01,5.3790864091e+01,4.1871260364e+01,6.5710467817e+01
1.5355049992e+01,5.3901839293e+01,4.1972327823e+01,6.5831350763e+01
1.5399686765e+01,5.4013940371e+01,4.2072856510e+01,6.5955024233e+01
1.5444323538e+01,5.4126804679e+01,4.2172674251e+01,6.6080935107e+01
1.5488960311e+01,5.4240069571e+01,4.2271612010e+01,6.6208527132e+01
1.5533597085e+01,5.4353372399e+01,4.2369504528e+01,6.6337240270e+01
1.5578233858e+01,5.4466350518e+01,4.2466190006e+01,6.6466511030e+01
1.5622870631e+01,5.4578641281e+01,4.2561508800e+01,6.6595773762e+01
1.5667507404e+01,5.4689882085e+01,4.2655301071e+01,6.6724463099e+01
1.5712144178e+01,5.4799735141e+01,4.2747405981e+01,6.6852064301e+01
1.5756780951e+01,5.4908015090e+01,4.2837755026e+01,6.6978275154e+01
1.5801417724e+01,5.5014680525e+01,4.2926389720e+01,6.7102971331e+01
1.5846054497e+01,5.5119702130e+01,4.3013372601e+01,6.7226031658e+01
1.5890691271e+01,5.5223050586e+01,4.3098775492e+01,6.7347325680e+01
1.5935328044e+01,5.5324696579e+01,4.3182680517e+01,6.7466712641e+01
1.5979964817e+01,5.5424610790e+01,4.3265180068e+01,6.7584041512e+01
1.6024601590e+01,5.5522763904e+01,4.3346375555e+01,6.7699152253e+01
1.6069238363e+01,5.5619126603e+01,4.3426374930e+01,6.7811878277e+01
1.6113875137e+01,5.5713669662e+01,4.3505289060e+01,6.7922050264e+01
1.6158511910e+01,5.5806420515e+01,4.3583236837e+01,6.8029604193e+01
1.6203148683e+01,5.5897535328e+01,4.3660184297e+01,6.8134886360e+01
1.6247785456e+01,5.5987197928e+01,4.3735932083e+01,6.8238463772e+01
1.6292422230e+01,5.6075597827e+01,4.3810264490e+01,6.8340931164e+01
1.6337059003e+01,5.6162924539e+01,4.3882966851e+01,6.8442882226e+01
1.6381695776e+01,5.6249367576e+01,4.3953828861e+01,6.8544906292e+01
1.6426332549e+01,5.6335116454e+01,4.4022645687e+01,6.8647587221e+01
1.6470969323e+01,5.6420360684e+01,4.4089217314e+01,6.8751504054e+01
1.6515606096e+01,5.6505289780e+01,4.4153346125e+01,6.8857233436e+01
1.6560242869e+01,5.6590093184e+01,4.4214832695e+01,6.8965353672e+01
1.6604879642e+01,5.6674893128e+01,4.4273441179e+01,6.9076345076e+01
1.6649516416e+01,5.6759918995e+01,4.4329391302e+01,6.9190446689e+01
1.6694153189e+01,5.6845783443e+01,4.4383635267e+01,6.9307931619e+01
1.6738789962e+01,5.6933128497e+01,4.4437183246e+01,6.9429073748e+01
1.6783426735e+01,5.7022596183e+01,4.4491051728e+01,6.9554140638e+01
1.6828063508e+01,5.7114828527e+01,4.4546266370e+01,6.9683390683e+01
1.6872700282e+01,5.7210467554e+01,4.4603863053e+01,6.9817072056e+01
1.6917337055e+01,5.7310155292e+01,4.4664887293e+01,6.9955423290e+01
1.6961973828e+01,5.7414533764e+01,4.4730392056e+01,7.0098675472e+01
1.7006610601e+01,5.7524245011e+01,4.4801434169e+01,7.0247055852e+01
1.7051247375e+01,5.7639912272e+01,4.4879126831e+01,7.0400697713e+01
1.7095884148e+01,5.7761408605e+01,4.4963818988e+01,7.0558998222e+01
1.7140520921e+01,5.7887553382e+01,4.5054434774e+01,7.0720671989e+01
1.7185157694e+01,5.8017068446e+01,4.5149767586e+01,7.0884369305e+01
1.7229794468e+01,5.8148675639e+01,4.5248613293e+01,7.1048737984e+01
1.7274431241e+01,5.8281096804e+01,4.5349771143e+01,7.1212422465e+01
1.7319068014e+01,5.8413053785e+01,4.5452044351e+01,7.1374063219e+01
1.7363704787e+01,5.8543268423e+01,4.5554239160e+01,7.1532297687e+01
1.7408341560e+01,5.8670462562e+01,4.5655162404e+01,7.1685762720e+01
1.7452978334e+01,5.8793358052e+01,4.5753617375e+01,7.1833098730e+01
1.7497615107e+01,5.8910785216e+01,4.5848304321e+01,7.1973266111e+01
1.7542251880e+01,5.9022688943e+01,4.5938503572e+01,7.2106874315e+01
1.7586888653e+01,5.9130272875e+01,4.6024983114e+01,7.2235562635e+01
1.7631525427e+01,5.9234864903e+01,4.6108702904e+01,7.2361026902e+01
1.7676162200e+01,5.9337792922e+01,4.6190635697e+01,7.2484950147e+01
1.7720798973e+01,5.9440384823e+01,4.6271769189e+01,7.2609000457e+01
1.7765435746e+01,5.9543968500e+01,4.6353107397e+01,7.2734829604e+01
1.7810072520e+01,5.9649871847e+01,4.6435670423e+01,7.2864073270e+01
1.7854709293e+01,5.9759422755e+01,4.6520492632e+01,7.2998352878e+01
1.7899346066e+01,5.9873949114e+01,4.6608619377e+01,7.3139278851e+01
1.7943982839e+01,5.9994631451e+01,4.6701166887e+01,7.3288096014e+01
1.7988619612e+01,6.0121573925e+01,4.6798828337e+01,7.3444319513e+01
1.8033256386e+01,6.0253821540e+01,4.6901067763e+01,7.3606575317e+01
1.8077893159e+01,6.0390309060e+01,4.7007125680e+01,7.3773492440e+01
1.8122529932e+01,6.0529971249e+01,4.7116231661e+01,7.3943710836e+01
1.8167166705e+01,6.0671742870e+01,4.7227614298e+01,7.4115871441e+01
1.8211803479e+01,6.0814558687e+01,4.7340503268e+01,7.4288614105e+01
1.8256440252e+01,6.0957353464e+01,4.7454130254e+01,7.4460576674e+01
1.8301077025e+01,6.1099061965e+01,4.7567728727e+01,7.4630395202e+01
1.8345713798e+01,6.1238618953e+01,4.7680532545e+01,7.4796705361e+01
1.8390350572e+01,6.1375103086e+01,4.7791751497e+01,7.4958454675e+01
1.8434987345e+01,6.1508523702e+01,4.7900944873e+01,7.5116102531e+01
1.8479624118e+01,6.1639723978e+01,4.8008580891e+01,7.5270867066e+01
1.8524260891e+01,6.1769641669e+01,4.8115336989e+01,7.5423946349e+01
1.8568897664e+01,6.1899214528e+01,4.8221905636e+01,7.5576523421e+01
1.8613534438e+01,6.2029380310e+01,4.8328984553e+01,7.5729776066e+01
1.8658171211e+01,6.2161076767e+01,4.8437277400e+01,7.5884876135e+01
1.8702807984e+01,6.2295241656e+01,4.8547493620e+01,7.6042989692e+01
1.8747444757e+01,6.2432812729e+01,4.8660347468e+01,7.6205277990e+01
1.8792081531e+01,6.2574727740e+01,4.8776556256e+01,7.6372899225e+01
1.8836718304e+01,6.2721791804e+01,4.8896827769e+01,7.6546755840e+01
1.8881355077e+01,6.2873980749e+01,4.9021541456e+01,7.6726420041e+01
1.8925991850e+01,6.3030622530e+01,4.9150504676e+01,7.6910740384e+01
1.8970628624e+01,6.3190965389e+01,4.9283383957e+01,7.7098546822e+01
1.9015265397e+01,6.3354257565e+01,4.9419837419e+01,7.7288677710e+01
1.9059902170e+01,6.3519747296e+01,4.9559524965e+01,7.7479969628e+01
1.9104538943e+01,6.3686682823e+01,4.9702108730e+01,7.7671256917e+01
1.9149175716e+01,6.3854312386e+01,4.9847252840e+01,7.7861371932e+01
1.9193812490e+01,6.4021884222e+01,4.9994622478e+01,7.8049145967e+01
1.9238449263e+01,6.4188646573e+01,5.0143882263e+01,7.8233410884e+01
1.9283086036e+01,6.4353974945e+01,5.0294721404e+01,7.8413228486e+01
1.9327722809e+01,6.4518018008e+01,5.0447129310e+01,7.8588906707e+01
1.9372359583e+01,6.4681502184e+01,5.0601385929e+01,7.8761618439e+01
1.9416996356e+01,6.4845249190e+01,5.0757758604e+01,7.8932739776e+01
1.9461633129e+01,6.5010080777e+01,5.0916499380e+01,7.9103662174e+01
1.9506269902e+01,6.5176818693e+01,5.1077864989e+01,7.9275772397e+01
1.9550906676e+01,6.5346284689e+01,5.1242117529e+01,7.9450451849e+01
1.9595543449e+01,6.5519300512e+01,5.1409523864e+01,7.9629077160e+01
1.9640180222e+01,6.5696687913e+01,5.1580353792e+01,7.9813022034e+01
1.9684816995e+01,6.5879268640e+01,5.1754876960e+01,8.0003660321e+01
1.9729453769e+01,6.6067754772e+01,5.1933307216e+01,8.0202202328e+01
1.9774090542e+01,6.6262223406e+01,5.2115424280e+01,8.0409022532e+01
1.9818727315e+01,6.6462174489e+01,5.2300588905e+01,8.0623760073e+01
1.9863364088e+01,6.6666976362e+01,5.2488163239e+01,8.0845789485e+01
1.9908000861e+01,6.6875997224e+01,5.2677540328e+01,8.1074454121e+01
1.9952637635e+01,6.7088605274e+01,5.2868120989e+01,8.1309089558e+01
1.9997274408e+01,6.7304168710e+01,5.3059313651e+01,8.1549023769e+01
2.0041911181e+01,6.7522055731e+01,5.3250532208e+01,8.1793579254e+01
2.0086547954e+01,6.7741634537e+01,5.3441191892e+01,8.2042077181e+01
2.0131184728e+01,6.7962273325e+01,5.3630703176e+01,8.2293843474e+01
2.0175821501e+01,6.8183423052e+01,5.3818539354e+01,8.2548306749e+01
2.0220458274e+01,6.8404964592e+01,5.4004814513e+01,8.2805114671e+01
2.0265095047e+01,6.8627450498e+01,5.4190771707e+01,8.3064129288e+01
2.0309731821e+01,6.8851609192e+01,5.4377960299e+01,8.3325258085e+01
2.0354368594e+01,6.9078169018e+01,5.4567967587e+01,8.3588370450e+01
2.0399005367e+01,6.9307858321e+01,5.4762403755e+01,8.3853312886e+01
2.0443642140e+01,6.9541405442e+01,5.4962902874e+01,8.4119908010e+01
2.0488278913e+01,6.9779538726e+01,5.5171120470e+01,8.4387956982e+01
2.0532915687e+01,7.0022986517e+01,5.5388727651e+01,8.4657245382e+01
2.0577552460e+01,7.0272477157e+01,5.5617401839e+01,8.4927552475e+01
2.0622189233e+01,7.0528699214e+01,5.5858735665e+01,8.5198662763e+01
2.0666826006e+01,7.0792187557e+01,5.6113584921e+01,8.5470790193e+01
2.0711462780e+01,7.1062443242e+01,5.6380660648e+01,8.5744225836e+01
2.0756099553e+01,7.1338578211e+01,5.6657906357e+01,8.6019250065e+01
2.0800736326e+01,7.1619704437e+01,5.6943217094e+01,8.6296191779e+01
2.0845373099e+01,7.1904933890e+01,5.7234495351e+01,8.6575372430e+01
2.0890009873e+01,7.2193378544e+01,5.7529655365e+01,8.6857101724e+01
2.0934646646e+01,7.2484150371e+01,5.7826623292e+01,8.7141677450e+01
2.0979283419e+01,7.2776361343e+01,5.8123333663e+01,8.7429389022e+01
2.1023920192e+01,7.3069123431e+01,5.8417722093e+01,8.7720524770e+01
2.1068556965e+01,7.3361521468e+01,5.8707757350e+01,8.8015285586e+01
2.1113193739e+01,7.3652222886e+01,5.8991483517e+01,8.8312962255e+01
2.1157830512e+01,7.3940567094e+01,5.9268299729e+01,8.8612834459e+01
2.1202467285e+01,7.4226401572e+01,5.9538394963e+01,8.8914408182e+01
2.1247104058e+01,7.4509576483e+01,5.9802023674e+01,8.9217129292e+01
2.1291740832e+01,7.4789941990e+01,6.0059464065e+01,8.9520419914e+01
2.1336377605e+01,7.5067348254e+01,6.0311020504e+01,8.9823676005e+01
2.1381014378e+01,7.5341645441e+01,6.0557022504e+01,9.0126268377e+01
2.1425651151e+01,7.5612683711e+01,6.0797819581e+01,9.0427547841e+01
2.1470287925e+01,7.5880313228e+01,6.1033772093e+01,9.0726854363e+01
2.1514924698e+01,7.6144427797e+01,6.1265207589e+01,9.1023648006e+01
2.1559561471e+01,7.6405598415e+01,6.1492738076e+01,9.1318458755e+01
2.1604198244e+01,7.6664511243e+01,6.1716955570e+01,9.1612066916e+01
2.1648835017e+01,7.6921531876e+01,6.1938001012e+01,9.1905062740e+01
2.1693471791e+01,7.7177020893e+01,6.2155946533e+01,9.2198095253e+01
2.1738108564e+01,7.7431338876e+01,6.2370876809e+01,9.2491800942e+01
2.1782745337e+01,7.7684846404e+01,6.2582897238e+01,9.2786795570e+01
2.1827382110e+01,7.7937904058e+01,6.2792137977e+01,9.3083670138e+01
2.1872018884e+01,7.8190872418e+01,6.2998755558e+01,9.3382989277e+01
2.1916655657e+01,7.8444112064e+01,6.3202932095e+01,9.3685292033e+01
2.1961292430e+01,7.8697961918e+01,6.3404889777e+01,9.3991034060e+01
2.2005929203e+01,7.8952106173e+01,6.3604546686e+01,9.4299665659e+01
2.2050565977e+01,7.9205996940e+01,6.3801993890e+01,9.4609999991e+01
2.2095202750e+01,7.9459376245e+01,6.3997792883e+01,9.4920959606e+01
2.2139839523e+01,7.9711990211e+01,6.4192552211e+01,9.5231428210e+01
2.2184476296e+01,7.9963584964e+01,6.4386875037e+01,9.5540294891e+01
2.2229113069e+01,8.0213906629e+01,6.4581359081e+01,9.5846454177e+01
2.2273749843e+01,8.0462701332e+01,6.4776596878e+01,9.6148805787e+01
2.2318386616e+01,8.0709715198e+01,6.4973174569e+01,9.6446255828e+01
2.2363023389e+01,8.0954694353e+01,6.5171669274e+01,9.6737719431e+01
2.2407660162e+01,8.1197385309e+01,6.5372658568e+01,9.7022112049e+01
2.2452296936e+01,8.1438125495e+01,6.5577245920e+01,9.7299005070e+01
2.2496933709e+01,8.1677284945e+01,6.5786159250e+01,9.7568410640e+01
2.2541570482e+01,8.1914704425e+01,6.5999417277e+01,9.7829991572e+01
2.2586207255e+01,8.2150214481e+01,6.6217024484e+01,9.8083404477e+01
2.2630844029e+01,8.2383645660e+01,6.6439009377e+01,9.8328281942e+01
2.2675480802e+01,8.2614828508e+01,6.6665427299e+01,9.8564229718e+01
2.2720117575e+01,8.2843593575e+01,6.6896360506e+01,9.8790826643e+01
2.2764754348e+01,8.3069771405e+01,6.7131916641e+01,9.9007626169e+01
2.2809391122e+01,8.3293192546e+01,6.7372225598e+01,9.9214159493e+01
2.2854027895e+01,8.3513716963e+01,6.7617396852e+01,9.9410037074e+01
2.2898664668e+01,8.3731124294e+01,6.7866985337e+01,9.9595263250e+01
2.2943301441e+01,8.3945349061e+01,6.8120398157e+01,9.9770299964e+01
2.2987938214e+01,8.4156784121e+01,6.8377451224e+01,9.9936117018e+01
2.3032574988e+01,8.4365838361e+01,6.8637991428e+01,1.0009368529e+02
2.3077211761e+01,8.4572920666e+01,6.8901867425e+01,1.0024397391e+02
2.3121848534e+01,8.4778439921e+01,6.9168929297e+01,1.0038795055e+02
2.3166485307e+01,8.4982805014e+01,6.9439027532e+01,1.0052658250e+02
2.3211122081e+01,8.5186424830e+01,6.9712009995e+01,1.0066083967e+02
2.3255758854e+01,8.5389708256e+01,6.9987716821e+01,1.0079169969e+02
2.3300395627e+01,8.5593032394e+01,7.0265988402e+01,1.0092007639e+02
2.3345032400e+01,8.5796380343e+01,7.0546477361e+01,1.0104628332e+02
2.3389669174e+01,8.5999268904e+01,7.0828236396e+01,1.0117030141e+02
2.3434305947e+01,8.6201124269e+01,7.1110118723e+01,1.0129212981e+02
2.3478942720e+01,8.6401373490e+01,7.1390975458e+01,1.0141177152e+02
2.3523579493e+01,8.6599443622e+01,7.1669676790e+01,1.0152921045e+02
2.3568216266e+01,8.6794761721e+01,7.1945118809e+01,1.0164440463e+02
2.3612853040e+01,8.6986754838e+01,7.2216226797e+01,1.0175728288e+02
2.3657489813e+01,8.7174850030e+01,7.2481955801e+01,1.0186774426e+02
2.3702126586e+01,8.7358474350e+01,7.2741288371e+01,1.0197566033e+02
2.3746763359e+01,8.7537055790e+01,7.2993227863e+01,1.0208088372e+02
2.3791400133e+01,8.7710348752e+01,7.3237105903e+01,1.0218359160e+02
2.3836036906e+01,8.7877925562e+01,7.3471804096e+01,1.0228404703e+02
2.3880673679e+01,8.8038660203e+01,7.3695315669e+01,1.0238200474e+02
2.3925310452e+01,8.8191396588e+01,7.3905600272e+01,1.0247719290e+02
2.3969947226e+01,8.8334978634e+01,7.4100619024e+01,1.0256933824e+02
2.4014583999e+01,8.8468250255e+01,7.4278334102e+01,1.0265816641e+02
2.4059220772e+01,8.8590055366e+01,7.4436705278e+01,1.0274340545e+02
2.4103857545e+01,8.8699237881e+01,7.4573683382e+01,1.0282479238e+02
2.4148494318e+01,8.8794641716e+01,7.4687200692e+01,1.0290208274e+02
2.4193131092e+01,8.8875139076e+01,7.4775169577e+01,1.0297510858e+02
2.4237767865e+01,8.8939618531e+01,7.4835704986e+01,1.0304353208e+02
2.4282404638e+01,8.8988734862e+01,7.4870427973e+01,1.0310704175e+02
2.4327041411e+01,8.9025078689e+01,7.4884002459e+01,1.0316615492e+02
2.4371678185e+01,8.9051304559e+01,7.4881217358e+01,1.0322139176e+02
2.4416314958e+01,8.9070067020e+01,7.4866908891e+01,1.0327322515e+02
2.4460951731e+01,8.9084020620e+01,7.4845971306e+01,1.0332206993e+02
2.4505588504e+01,8.9095819906e+01,7.4823360788e+01,1.0336827902e+02
2.4550225278e+01,8.9108119425e+01,7.4804093556e+01,1.0341214529e+02
2.4594862051e+01,8.9123573725e+01,7.4793238579e+01,1.0345390887e+02
2.4639498824e+01,8.9144809210e+01,7.4795893533e+01,1.0349372489e+02
2.4684135597e+01,8.9174466493e+01,7.4816934601e+01,1.0353199838e+02
2.4728772370e+01,8.9213849235e+01,7.4858033261e+01,1.0356966521e+02
2.4773409144e+01,8.9262519291e+01,7.4917853289e+01,1.0360718529e+02
2.4818045917e+01,8.9319974729e+01,7.4994918166e+01,1.0364503129e+02
2.4862682690e+01,8.9385713619e+01,7.5087726615e+01,1.0368370062e+02
2.4907319463e+01,8.9459234032e+01,7.5194758255e+01,1.0372370981e+02
2.4951956237e+01,8.9540034037e+01,7.5314478750e+01,1.0376558932e+02
2.4996593010e+01,8.9627611705e+01,7.5445343664e+01,1.0380987975e+02
2.5041229783e+01,8.9721465105e+01,7.5585801047e+01,1.0385712916e+02
2.5085866556e+01,8.9821113697e+01,7.5734284792e+01,1.0390794260e+02
2.5130503330e+01,8.9925961913e+01,7.5888993378e+01,1.0396293045e+02
2.5175140103e+01,9.0034938064e+01,7.6048090595e+01,1.0402178553e+02
2.5219776876e+01,9.0147016848e+01,7.6210079399e+01,1.0408395430e+02
2.5264413649e+01,9.0261170705e+01,7.6373480853e+01,1.0414886056e+02
2.5309050423e+01,9.0376372073e+01,7.6536829562e+01,1.0421591459e+02
2.5353687196e+01,9.0491593393e+01,7.6698675902e+01,1.0428451088e+02
2.5398323969e+01,9.0605807102e+01,7.6857586336e+01,1.0435402787e+02
2.5442960742e+01,9.0717985640e+01,7.7012142155e+01,1.0442382912e+02
2.5487597515e+01,9.0827101445e+01,7.7160936614e+01,1.0449326628e+02
2.5532234289e+01,9.0932104928e+01,7.7302575339e+01,1.0456163452e+02
2.5576871062e+01,9.1031809637e+01,7.7435767693e+01,1.0462785158e+02
2.5621507835e+01,9.1125919605e+01,7.7560444894e+01,1.0469139432e+02
2.5666144608e+01,9.1215202120e+01,7.7677946509e+01,1.0475245773e+02
2.5710781382e+01,9.1300500519e+01,7.7789706144e+01,1.0481129489e+02
2.5755418155e+01,9.1382658142e+01,7.7897158326e+01,1.0486815796e+02
2.5800054928e+01,9.1462518328e+01,7.8001741556e+01,1.0492329510e+02
2.5844691701e+01,9.1540924415e+01,7.8104899144e+01,1.0497694969e+02
2.5889328475e+01,9.1618719742e+01,7.8208078459e+01,1.0502936102e+02
2.5933965248e+01,9.1696747648e+01,7.8312728612e+01,1.0508076668e+02
2.5978602021e+01,9.1775865721e+01,7.8420292107e+01,1.0513143934e+02
2.6023238794e+01,9.1857155492e+01,7.8532210381e+01,1.0518210060e+02
2.6067875567e+01,9.1941108893e+01,7.8648856228e+01,1.0523336156e+02
2.6112512341e+01,9.2026993237e+01,7.8768905919e+01,1.0528508056e+02
2.6157149114e+01,9.2113966489e+01,7.8890901157e+01,1.0533703182e+02
2.6201785887e+01,9.2201186615e+01,7.9013396248e+01,1.0538897698e+02
2.6246422660e+01,9.2287811580e+01,7.9134960045e+01,1.0544066312e+02
2.6291059434e+01,9.2372999351e+01,7.9254176850e+01,1.0549182185e+02
2.6335696207e+01,9.2455907894e+01,7.9369645847e+01,1.0554216994e+02
2.6380332980e+01,9.2535695173e+01,7.9479978999e+01,1.0559141135e+02
2.6424969753e+01,9.2611517956e+01,7.9583804926e+01,1.0563923098e+02
2.6469606527e+01,9.2682518311e+01,7.9679857550e+01,1.0568517907e+02
2.6514243300e+01,9.2748418347e+01,7.9767785932e+01,1.0572905076e+02
2.6558880073e+01,9.2809998383e+01,7.9848664714e+01,1.0577133205e+02
2.6603516846e+01,9.2868153259e+01,7.9923705900e+01,1.0581260062e+02
2.6648153619e+01,9.2923777814e+01,7.9994115246e+01,1.0585344038e+02
2.6692790393e+01,9.2977766888e+01,8.0061094322e+01,1.0589443945e+02
2.6737427166e+01,9.3031015319e+01,8.0125841841e+01,1.0593618880e+02
2.6782063939e+01,9.3084417948e+01,8.0189554129e+01,1.0597928177e+02
2.6826700712e+01,9.3138869614e+01,8.0253424707e+01,1.0602431452e+02
2.6871337486e+01,9.3195257501e+01,8.0318635381e+01,1.0607187962e+02
2.6915974259e+01,9.3254249229e+01,8.0386171864e+01,1.0612232659e+02
2.6960611032e+01,9.3315881678e+01,8.0456361307e+01,1.0617540205e+02
2.7005247805e+01,9.3379515936e+01,8.0528708917e+01,1.0623032296e+02
2.7049884579e+01,9.3444419115e+01,8.0602608892e+01,1.0628622934e+02
2.7094521352e+01,9.3509858327e+01,8.0677455932e+01,1.0634226072e+02
2.7139158125e+01,9.3575100684e+01,8.0752647783e+01,1.0639755359e+02
2.7183794898e+01,9.3639413299e+01,8.0827586099e+01,1.0645124050e+02
2.7228431671e+01,9.3702063283e+01,8.0901676337e+01,1.0650245023e+02
2.7273068445e+01,9.3762317749e+01,8.0974326688e+01,1.0655030881e+02
2.7317705218e+01,9.3819453693e+01,8.1044950552e+01,1.0659395683e+02
2.7362341991e+01,9.3873105908e+01,8.1113160222e+01,1.0663305159e+02
2.7406978764e+01,9.3923634908e+01,8.1179029036e+01,1.0666824078e+02
2.7451615538e+01,9.3971603005e+01,8.1242797335e+01,1.0670040867e+02
2.7496252311e+01,9.4017594710e+01,8.1304725749e+01,1.0673046367e+02
2.7540889084e+01,9.4062194537e+01,8.1365079504e+01,1.0675930957e+02
2.7585525857e+01,9.4105986998e+01,8.1424130388e+01,1.0678784361e+02
2.7630162631e+01,9.4149556605e+01,8.1482157475e+01,1.0681695574e+02
2.7674799404e+01,9.4193487873e+01,8.1539447143e+01,1.0684752860e+02
2.7719436177e+01,9.4238365312e+01,8.1596292404e+01,1.0688043822e+02
2.7764072950e+01,9.4284764883e+01,8.1652989234e+01,1.0691654053e+02
2.7808709723e+01,9.4332886885e+01,8.1709638272e+01,1.0695613550e+02
2.7853346497e+01,9.4382174453e+01,8.1765839407e+01,1.0699850950e+02
2.7897983270e+01,9.4432260790e+01,8.1821375754e+01,1.0704314583e+02
2.7942620043e+01,9.4482858727e+01,8.1876110450e+01,1.0708960700e+02
2.7987256816e+01,9.4533681094e+01,8.1929908848e+01,1.0713745334e+02
2.8031893590e+01,9.4584440719e+01,8.1982639328e+01,1.0718624211e+02
2.8076530363e+01,9.4634850433e+01,8.2034173399e+01,1.0723552747e+02
2.8121167136e+01,9.4684623066e+01,8.2084384743e+01,1.0728486139e+02
2.8165803909e+01,9.4733471446e+01,8.2133147218e+01,1.0733379567e+02
2.8210440683e+01,9.4781113509e+01,8.2180332994e+01,1.0738189402e+02
2.8255077456e+01,9.4827523405e+01,8.2225959870e+01,1.0742908694e+02
2.8299714229e+01,9.4873231400e+01,8.2270479087e+01,1.0747598371e+02
2.8344351002e+01,9.4918505509e+01,8.2314114242e+01,1.0752289678e+02
2.8388987776e+01,9.4963503090e+01,8.2356975994e+01,1.0757003019e+02
2.8433624549e+01,9.5008381501e+01,8.2399171344e+01,1.0761759166e+02
2.8478261322e+01,9.5053298098e+01,8.2440807732e+01,1.0766578846e+02
2.8522898095e+01,9.5098410236e+01,8.2481995025e+01,1.0771482545e+02
2.8567534868e+01,9.5143875274e+01,8.2522846607e+01,1.0776490394e+02
2.8612171642e+01,9.5189850566e+01,8.2563479653e+01,1.0781622148e+02
2.8656808415e+01,9.5236491492e+01,8.2604015617e+01,1.0786896737e+02
2.8701445188e+01,9.5283830962e+01,8.2644497070e+01,1.0792316485e+02
2.8746081961e+01,9.5331515710e+01,8.2684544541e+01,1.0797848688e+02
2.8790718735e+01,9.5379031454e+01,8.2723546991e+01,1.0803451592e+02
2.8835355508e+01,9.5425854698e+01,8.2760884709e+01,1.0809082469e+02
2.8879992281e+01,9.5471461950e+01,8.2795948779e+01,1.0814697512e+02
2.8924629054e+01,9.5515329718e+01,8.2828141623e+01,1.0820251781e+02
2.8969265828e+01,9.5556934509e+01,8.2856877310e+01,1.0825699171e+02
2.9013902601e+01,9.5595752832e+01,8.2881581166e+01,1.0830992450e+02
2.9058539374e+01,9.5631261194e+01,8.2901688649e+01,1.0836083374e+02
2.9103176147e+01,9.5662937779e+01,8.2916639594e+01,1.0840923596e+02
2.9147812920e+01,9.5690391430e+01,8.2925910858e+01,1.0845487200e+02
2.9192449694e+01,9.5713852957e+01,8.2929624245e+01,1.0849808167e+02
2.9237086467e+01,9.5734449931e+01,8.2929046696e+01,1.0853985316e+02
2.9281723240e+01,9.5753532334e+01,8.2925716407e+01,1.0858134826e+02
2.9326360013e+01,9.5772450377e+01,8.2921174139e+01,1.0862372661e+02
2.9370996787e+01,9.5792554268e+01,8.2916965122e+01,1.0866814341e+02
2.9415633560e+01,9.5815194215e+01,8.2914639909e+01,1.0871574852e+02
2.9460270333e+01,9.5841720428e+01,8.2915754470e+01,1.0876768639e+02
2.9504907106e+01,9.5873483116e+01,8.2921869556e+01,1.0882509668e+02
2.9549543880e+01,9.5911830551e+01,8.2934554066e+01,1.0888910704e+02
2.9594180653e+01,9.5957932658e+01,8.2955340720e+01,1.0896052460e+02
2.9638817426e+01,9.6011978857e+01,8.2984715109e+01,1.0903924261e+02
2.9683454199e+01,9.6072526464e+01,8.3020862654e+01,1.0912419027e+02
2.9728090972e+01,9.6137694774e+01,8.3061367376e+01,1.0921402217e+02
2.9772727746e+01,9.6205602226e+01,8.3103816317e+01,1.0930738814e+02
2.9817364519e+01,9.6274367263e+01,8.3145799362e+01,1.0940293516e+02
2.9862001292e+01,9.6342108323e+01,8.3184906728e+01,1.0949930992e+02
2.9906638065e+01,9.6406943848e+01,8.3218725084e+01,1.0959516261e+02
2.9951274839e+01,9.6466992278e+01,8.3244832361e+01,1.0968915219e+02
2.9995911612e+01,9.6520372529e+01,8.3260786988e+01,1.0977995807e+02
3.0040548385e+01,9.6565301253e+01,8.3264127607e+01,1.0986647490e+02
3.0085185158e+01,9.6600906932e+01,8.3253548511e+01,1.0994826535e+02
3.0129821932e+01,9.6628548006e+01,8.3231169262e+01,1.1002592675e+02
3.0174458705e+01,9.6650251046e+01,8.3200116230e+01,1.1010038586e+02
3.0219095478e+01,9.6668044499e+01,8.3163529181e+01,1.1017255982e+02
3.0263732251e+01,9.6683956808e+01,8.3124567386e+01,1.1024334623e+02
3.0308369024e+01,9.6700016420e+01,8.3086413650e+01,1.1031361919e+02
3.0353005798e+01,9.6718251779e+01,8.3052274897e+01,1.1038422866e+02
3.0397642571e+01,9.6740691332e+01,8.3025379706e+01,1.1045600296e+02
3.0442279344e+01,9.6769365504e+01,8.3008975754e+01,1.1052975525e+02
3.0486916117e+01,9.6806387416e+01,8.3006373533e+01,1.1060640130e+02
3.0531552891e+01,9.6853525712e+01,8.3020095592e+01,1.1068695583e+02
